survey,fieldwork,question_code,question_label,question_text,response_order,response,country_code,country,percent,weighted_count,source_file
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,1,Totally agree,EU27,EU-27,36.0,9356,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,1,Totally agree,NL,Netherlands,38.0,381,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,1,Totally agree,RO,Romania,24.0,254,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,2,Tend to agree,EU27,EU-27,42.0,11093,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,2,Tend to agree,NL,Netherlands,34.0,340,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,2,Tend to agree,RO,Romania,45.0,473,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,3,Tend to disagree,EU27,EU-27,16.0,4305,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,3,Tend to disagree,NL,Netherlands,22.0,223,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,3,Tend to disagree,RO,Romania,24.0,246,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,4,Totally disagree,EU27,EU-27,5.0,1423,SP550_vol_A.xlsx
