Submitted at,Respondent,"Are you from the Netherlands, or have you been living there for a minimum of 1 year?","1. I am concerned when the environment is damaged, even if it does not directly affect me. (1 = does not apply to me at all, 6 = applies to me completely)","2. I believe it is important that my decisions do not harm those around me or future generations.
(1 = does not apply to me at all, 6 = applies to me completely)","3. I strive to follow rules and standards that serve the good of the community or society as a whole.
(1 = does not apply to me at all, 6 = applies to me completely)","4. I believe it is important for society to continue to function within a sustainable and stable framework in the future. 
(1 = does not apply to me at all, 6 = applies to me completely)","5. What can you do with a broken, unused smartphone? Select all the options you think are correct!","6. Have you ever heard of the term ""e-waste"" or WEEE?",7. Have you ever participated in any programs or initiatives—including online ones—that provide information on the proper disposal of e-waste?,"8. If you answered “No” to the previous question, would you be interested in attending similar events if you had the opportunity?",1. How often do you replace the following items before they are completely worn out?    ,2. Have you ever purchased a used or refurbished device in the following categories? ,"3. If so, what was your main reason? Please select an answer only for the device types for which you answered ""Yes"" to the previous question!","4. If you didn’t buy secondhand, what held you back?  Please select an answer only for the device types for which you answered ""No"" to the previous question!",5. Have you ever used any of the following services?,6. How open would you be to renting or sharing an electronic device in the future instead of owning it? ,"7. When purchasing the following electronic devices, do you consider their durability or repairability to be important?","1. If an electronic device breaks down, do you usually have it repaired? ","If you don't get a small appliance repaired, what's usually the reason? ","If you don't get a personal IT device repaired, what's usually the reason? ","If you don't get a large household appliance repaired, what's usually the reason? ","What would most encourage you to have the product repaired rather than replaced? (You may select up to 2 answers, and also add your own answer at the last option)",4. Do you usually fix minor problems yourself? ,5. To what extent are you willing to continue using an electronic device after it has been fully repaired? ,"6. To what extent are you willing to continue using an electronic device that has been repaired, but has some minor issues remained (e.g., slow performance, scratched or dented exterior, etc.)? ","1. When you no longer wish to use a small device, what usually happens to it?","2. If you no longer want to use a personal IT device, what usually happens to it?","3. If you no longer want to use a large household appliance, what usually happens to it?",4. Do you know where the nearest e-waste drop-off location is near where you live?,"5. What would encourage you to take the device to the appropriate place instead of keeping it at home or throwing it away? (You may select up to 2 answers, and also add your own answer at the last option)",6. What’s stopping you from dropping-off your unwanted items at a collection point? ,7. Would you be willing to do more in the future to ensure that your electronic devices are disposed of properly? ,Gender: ,Age: ,Highest level of finished education:,Current occupation:,Place of residence: ,Your household's monthly net income (in EUR),Your household size
2026-04-26T14:04:10Z,Anonymous,Choice 1,5,5,4,6,"I put it in the drawer where I keep other similar items, I'm selling it, or I give it to someone who can still use it, I have it repaired, if possible",No,No,Yes,Small appliances: 2; Personal IT devices: 3; Large household appliances: 2,Small appliances: Yes; Personal IT devices: No; Large household appliances: No,Small appliances: Better price,Personal IT devices: choices: I didn't know where; Large household appliances: choices: I didn't know where,"Shared use of electronis products (e.g., tool library): Yes; Equipment rental for electronic products (e.g., monthly fee for a washing machine): Yes",Small appliances: 1 = not at all; Personal IT devices: 1 = not at all; Large household appliances : 1 = not at all,Small appliances: 5; Personal IT devices: 5; Large household appliances: 5,Small appliances: 2; Personal IT devices: 4; Large household appliances: 3,"The cost of the repair is nearly as much as the price of a new product, The parts are not available","The parts are not available, The cost of the repair is nearly as much as the price of a new product","The parts are not available, The cost of the repair is nearly as much as the price of a new product","A more convenient process (e.g., in-home service), Lower repair costs",Yes,Small appliances: 6 = always; Personal IT devices: 6 = always; Large household appliances: 6 = always,Small appliances: 6 = always; Personal IT devices: 6 = always; Large household appliances: 6 = always,"I sell on online marketplaces for used goods, I'll pass this on to a friend","I'll pass this on to a friend, I'm keeping it at home; I won't throw it away just yet","I sell on online marketplaces for used goods, I'll pass this on to a friend",No,A closer or more convenient drop-off location,Data security concerns (regarding IT devices),5,Woman,18 - 24 years,College / University degree (BA/BSc),Student,"Large city (population over 100,000)",600–1 000 €,1 person (I live alone)
2026-04-26T10:38:39Z,Anonymous,Choice 1,5,4,4,4,I drop it off at a designated e-waste collection point,Yes,No,Maybe,Small appliances: 4; Personal IT devices: 3; Large household appliances: 2,Small appliances: No; Personal IT devices: No; Large household appliances: No,Small appliances: It didn't have to be new; Personal IT devices: It didn't have to be new; Large household appliances: It didn't have to be new,"Small appliances: choices: Quality concerns, The price wasn't worth it, I didn't know where; Personal IT devices: choices: Quality concerns, I didn't know where, The price wasn't worth it; Large household appliances: choices: Quality concerns, The price wasn't worth it, I didn't know where","Shared use of electronis products (e.g., tool library): No; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 1 = not at all; Personal IT devices: 1 = not at all; Large household appliances : 1 = not at all,Small appliances: 5; Personal IT devices: 5; Large household appliances: 5,Small appliances: 2; Personal IT devices: 5; Large household appliances: 6 = always,"The cost of the repair is nearly as much as the price of a new product, It takes too much time","I can't find a reliable repair shop, It takes too much time, The parts are not available","I can't find a reliable repair shop, It takes too much time, The parts are not available","Lower repair costs, A more convenient process (e.g., in-home service)",Yes,Small appliances: 5; Personal IT devices: 5; Large household appliances: 5,Small appliances: 2; Personal IT devices: 3; Large household appliances: 5,I will take it to a designated e-waste collection point,I'll return it to the store or the manufacturer,I'll return it to the store or the manufacturer,Yes,A closer or more convenient drop-off location,Data security concerns (regarding IT devices),4,Man,18 - 24 years,High School,Student,"Large city (population over 100,000)",1 601–2 400 €,3-4 people
2026-04-25T22:06:47Z,Anonymous,Choice 1,2,6,4,5,"I'll throw it in the regular household trash, I  take it back to the store where I bought it",Yes,No,No,Small appliances: 3; Personal IT devices: 2; Large household appliances: 3,Small appliances: Yes; Personal IT devices: No; Large household appliances: No,Small appliances: Sustainability reasons; Personal IT devices: Sustainability reasons; Large household appliances: It didn't have to be new,Small appliances: choices: I didn't know where; Personal IT devices: choices: Hygiene concerns; Large household appliances: choices: I didn't know where,"Shared use of electronis products (e.g., tool library): Yes; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 3; Personal IT devices: 5; Large household appliances : 6 = completely,Small appliances: 4; Personal IT devices: 6 = completely; Large household appliances: 6 = completely,Small appliances: 4; Personal IT devices: 3; Large household appliances: 3,It takes too much time,"I can't find a reliable repair shop, The parts are not available",I can't find a reliable repair shop,"Financial incentive (e.g., tax credit, refund)",Yes,Small appliances: 2; Personal IT devices: 2; Large household appliances: 1 = never,Small appliances: 2; Personal IT devices: 3; Large household appliances: 3,I'll pass this on to a friend,"I'll pass this on to a friend, I'll throw it in the regular household trash","I will take it to a designated e-waste collection point, I'll return it to the store or the manufacturer",Yes,A closer or more convenient drop-off location,It's too far away / hard to get to,6,Man,35 - 44 years,Master’s degree or higher (MA/MSc/PhD),Entrepreneur,Rural area / village,1 001–1 600 €,2 people
2026-04-25T11:53:02Z,Anonymous,Choice 1,5,6,5,6,"I drop it off at a designated e-waste collection point, I  take it back to the store where I bought it, I have it repaired, if possible, I put it in the drawer where I keep other similar items",Yes,No,Maybe,Small appliances: 1 = never; Personal IT devices: 4; Large household appliances: 1 = never,Small appliances: No; Personal IT devices: Yes; Large household appliances: No,Small appliances: It didn't have to be new; Personal IT devices: Better price; Large household appliances: It didn't have to be new,Small appliances: choices: The price wasn't worth it; Large household appliances: choices: Quality concerns,"Shared use of electronis products (e.g., tool library): Yes; Equipment rental for electronic products (e.g., monthly fee for a washing machine): Yes",Small appliances: 1 = not at all; Personal IT devices: 1 = not at all; Large household appliances : 2,Small appliances: 2; Personal IT devices: 6 = completely; Large household appliances: 5,Small appliances: 1 = never; Personal IT devices: 6 = always; Large household appliances: 4,The cost of the repair is nearly as much as the price of a new product,The cost of the repair is nearly as much as the price of a new product,It takes too much time,"Lower repair costs, Easier access to reliable service",Yes,Small appliances: 4; Personal IT devices: 6 = always; Large household appliances: 5,Small appliances: 1 = never; Personal IT devices: 4; Large household appliances: 3,I will take it to a designated e-waste collection point,I'm keeping it at home; I won't throw it away just yet,I'll pass this on to a friend,Yes,"Financial incentive (e.g., as with plastic bottles)",It's too far away / hard to get to,4,Woman,18 - 24 years,College / University degree (BA/BSc),Student,"Large city (population over 100,000)",under 600 €,2 people
2026-04-24T18:17:57Z,Anonymous,Choice 1,4,5,3,4,"I put it in the recycling bin for plastic or paper, I drop it off at a designated e-waste collection point, I  take it back to the store where I bought it",Yes,Yes,Yes,Small appliances: 4; Personal IT devices: 5; Large household appliances: 5,Small appliances: Yes; Personal IT devices: Yes; Large household appliances: Yes,Small appliances: Sustainability reasons; Personal IT devices: Sustainability reasons; Large household appliances: Sustainability reasons,Small appliances: choices: Hygiene concerns; Personal IT devices: choices: I didn't know where; Large household appliances: choices: Quality concerns,"Shared use of electronis products (e.g., tool library): No; Equipment rental for electronic products (e.g., monthly fee for a washing machine): Yes",Small appliances: 5; Personal IT devices: 5; Large household appliances : 5,Small appliances: 4; Personal IT devices: 5; Large household appliances: 6 = completely,Small appliances: 4; Personal IT devices: 5; Large household appliances: 5,"The cost of the repair is nearly as much as the price of a new product, I can't find a reliable repair shop","The cost of the repair is nearly as much as the price of a new product, The parts are not available","I can't find a reliable repair shop, The parts are not available","Easier access to reliable service, Better environmental awareness, Financial incentive (e.g., tax credit, refund)",Yes,Small appliances: 6 = always; Personal IT devices: 6 = always; Large household appliances: 6 = always,Small appliances: 5; Personal IT devices: 4; Large household appliances: 5,"I'll pass this on to a friend, I'll return it to the store or the manufacturer","I'll throw it in the regular household trash, I sell on online marketplaces for used goods, I'll pass this on to a friend","I'll throw it in the regular household trash, I'll pass this on to a friend, I sell on online marketplaces for used goods",No,A closer or more convenient drop-off location,Data security concerns (regarding IT devices),6,Other / I prefer not to answer,18 - 24 years,High School,Employee,City (20 000 - 100 000 residents),1 601–2 400 €,1 person (I live alone)
2026-04-24T16:55:06Z,Anonymous,Choice 1,3,4,4,3,I put it in the drawer where I keep other similar items,No,No,Maybe,Small appliances: 5; Personal IT devices: 3; Large household appliances: 2,Small appliances: No; Personal IT devices: Yes; Large household appliances: Yes,Personal IT devices: Better price; Large household appliances: It didn't have to be new,Small appliances: choices: The price wasn't worth it,"Shared use of electronis products (e.g., tool library): Yes; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 2; Personal IT devices: 3; Large household appliances : 5,Small appliances: 2; Personal IT devices: 4; Large household appliances: 6 = completely,Small appliances: 2; Personal IT devices: 2; Large household appliances: 4,The cost of the repair is nearly as much as the price of a new product,The cost of the repair is nearly as much as the price of a new product,It takes too much time,"Easier access to reliable service, A more convenient process (e.g., in-home service)",Yes,Small appliances: 5; Personal IT devices: 6 = always; Large household appliances: 6 = always,Small appliances: 3; Personal IT devices: 4; Large household appliances: 5,I'll throw it in the regular household trash,I'm keeping it at home; I won't throw it away just yet,I will take it to a designated e-waste collection point,No,"Financial incentive (e.g., as with plastic bottles)",I don't know of a nearby drop-off location,4,Man,18 - 24 years,College / University degree (BA/BSc),Student,"Large city (population over 100,000)",above 2 400 €,2 people
2026-04-24T14:21:40Z,Anonymous,Choice 1,4,5,6,6,"I drop it off at a designated e-waste collection point, I'm selling it, or I give it to someone who can still use it, I have it repaired, if possible, I put it in the drawer where I keep other similar items",Yes,No,Maybe,Small appliances: 4; Personal IT devices: 3; Large household appliances: 2,Small appliances: No; Personal IT devices: Yes; Large household appliances: No,Personal IT devices: Better price,"Small appliances: choices: I didn't know where, Hygiene concerns; Large household appliances: choices: Quality concerns","Shared use of electronis products (e.g., tool library): Yes; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 5; Personal IT devices: 1 = not at all; Large household appliances : 5,Small appliances: 5; Personal IT devices: 5; Large household appliances: 5,Small appliances: 3; Personal IT devices: 5; Large household appliances: 5,"The cost of the repair is nearly as much as the price of a new product, I can't find a reliable repair shop","The cost of the repair is nearly as much as the price of a new product, I can't find a reliable repair shop, It takes too much time","The cost of the repair is nearly as much as the price of a new product, I can't find a reliable repair shop","Lower repair costs, A more convenient process (e.g., in-home service)",Yes,Small appliances: 6 = always; Personal IT devices: 6 = always; Large household appliances: 6 = always,Small appliances: 4; Personal IT devices: 4; Large household appliances: 5,"I'm keeping it at home; I won't throw it away just yet, I'll pass this on to a friend","I'm keeping it at home; I won't throw it away just yet, I'll pass this on to a friend, I sell on online marketplaces for used goods","I'm keeping it at home; I won't throw it away just yet, I'll pass this on to a friend, I sell on online marketplaces for used goods",Yes,"Financial incentive (e.g., as with plastic bottles)",It's too far away / hard to get to,5,Man,25 - 34 years,College / University degree (BA/BSc),Student,"Large city (population over 100,000)",under 600 €,1 person (I live alone)
2026-04-23T15:49:34Z,Anonymous,Choice 1,4,4,5,5,"I'll throw it in the regular household trash, I put it in the recycling bin for plastic or paper, I have it repaired, if possible",No,No,Maybe,Small appliances: 2; Personal IT devices: 2; Large household appliances: 1 = never,Small appliances: Yes; Personal IT devices: Yes; Large household appliances: No,Small appliances: Better price; Personal IT devices: Better price; Large household appliances: It didn't have to be new,Small appliances: choices: I didn't know where; Personal IT devices: choices: I didn't know where; Large household appliances: choices: Quality concerns,"Shared use of electronis products (e.g., tool library): No; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 3; Personal IT devices: 2; Large household appliances : 3,Small appliances: 3; Personal IT devices: 2; Large household appliances: 3,Small appliances: 3; Personal IT devices: 2; Large household appliances: 3,"I can't find a reliable repair shop, The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product, I can't find a reliable repair shop","The cost of the repair is nearly as much as the price of a new product, I can't find a reliable repair shop","Lower repair costs, Easier access to reliable service",Yes,Small appliances: 3; Personal IT devices: 2; Large household appliances: 2,Small appliances: 2; Personal IT devices: 2; Large household appliances: 2,"I'm keeping it at home; I won't throw it away just yet, I'll throw it in the regular household trash","I'm keeping it at home; I won't throw it away just yet, I'll throw it in the regular household trash",I'll throw it in the regular household trash,No,A closer or more convenient drop-off location,Data security concerns (regarding IT devices),3,Woman,25 - 34 years,Master’s degree or higher (MA/MSc/PhD),Unemployed / Job seeker,"Large city (population over 100,000)",1 001–1 600 €,2 people
2026-04-23T11:19:19Z,Anonymous,Choice 1,4,5,5,5,"I put it in the drawer where I keep other similar items, I drop it off at a designated e-waste collection point, I  take it back to the store where I bought it, I'm selling it, or I give it to someone who can still use it, I have it repaired, if possible, I hand it in to a mobile service provider",No,No,No,Small appliances: 4; Personal IT devices: 4; Large household appliances: 5,Small appliances: No; Personal IT devices: Yes; Large household appliances: No,Personal IT devices: Better price,"Small appliances: choices: I didn't know where, Quality concerns; Large household appliances: choices: I didn't know where, Quality concerns","Shared use of electronis products (e.g., tool library): No; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 1 = not at all; Personal IT devices: 1 = not at all; Large household appliances : 1 = not at all,Small appliances: 5; Personal IT devices: 5; Large household appliances: 5,Small appliances: 3; Personal IT devices: 4; Large household appliances: 3,The cost of the repair is nearly as much as the price of a new product,The cost of the repair is nearly as much as the price of a new product,"The cost of the repair is nearly as much as the price of a new product, It takes too much time","Lower repair costs, A more convenient process (e.g., in-home service)",No,Small appliances: 3; Personal IT devices: 4; Large household appliances: 4,Small appliances: 3; Personal IT devices: 3; Large household appliances: 2,I'm keeping it at home; I won't throw it away just yet,"I will take it to a designated e-waste collection point, I'll return it to the store or the manufacturer, I'm keeping it at home; I won't throw it away just yet","I'm keeping it at home; I won't throw it away just yet, I sell on online marketplaces for used goods",No,"Financial incentive (e.g., as with plastic bottles)",I don't know of a nearby drop-off location,4,Man,25 - 34 years,College / University degree (BA/BSc),Student,"Small Town / Village (town or village with fewer than 20,000 residents)",above 2 400 €,2 people
2026-04-22T13:43:13Z,Anonymous,Choice 1,5,6,4,5,I drop it off at a designated e-waste collection point,Yes,No,Maybe,Small appliances: 2; Personal IT devices: 1 = never; Large household appliances: 1 = never,Small appliances: No; Personal IT devices: Yes; Large household appliances: No,Small appliances: Better price; Personal IT devices: Better price; Large household appliances: Better price,Small appliances: choices: Quality concerns; Personal IT devices: choices: Quality concerns; Large household appliances: choices: Quality concerns,"Shared use of electronis products (e.g., tool library): No; Equipment rental for electronic products (e.g., monthly fee for a washing machine): No",Small appliances: 4; Personal IT devices: 4; Large household appliances : 4,Small appliances: 4; Personal IT devices: 4; Large household appliances: 4,Small appliances: 2; Personal IT devices: 5; Large household appliances: 5,I can't find a reliable repair shop,I can't find a reliable repair shop,I can't find a reliable repair shop,Lower repair costs,Yes,Small appliances: 6 = always; Personal IT devices: 6 = always; Large household appliances: 6 = always,Small appliances: 4; Personal IT devices: 4; Large household appliances: 4,I'm keeping it at home; I won't throw it away just yet,I'm keeping it at home; I won't throw it away just yet,"I'll throw it in the regular household trash, I sell on online marketplaces for used goods",No,Home delivery services,I don't know of a nearby drop-off location,5,Man,25 - 34 years,Master’s degree or higher (MA/MSc/PhD),Student,"Large city (population over 100,000)",under 600 €,1 person (I live alone)
